,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.75,0.043,0.674,0.834,0.002,0.001,790.0,1089.0,1.01,0.75,True
beta_cost,-0.403,0.004,-0.411,-0.395,0.0,0.0,599.0,1092.0,1.01,-0.4,True
beta_log_dist,-0.6,0.033,-0.66,-0.542,0.001,0.001,641.0,909.0,1.01,-0.6,True
beta_chinese,0.851,0.09,0.69,1.022,0.005,0.002,392.0,776.0,1.01,0.83,True
beta_japanese,1.291,0.096,1.115,1.473,0.004,0.002,671.0,1069.0,1.01,1.25,True
beta_korean,0.794,0.093,0.631,0.982,0.004,0.002,625.0,785.0,1.01,0.75,True
beta_indian,1.013,0.072,0.877,1.141,0.004,0.002,424.0,651.0,1.02,1.0,True
beta_french,0.995,0.167,0.69,1.29,0.007,0.004,535.0,677.0,1.0,0.95,True
beta_mexican,1.354,0.092,1.183,1.518,0.004,0.002,586.0,814.0,1.01,1.3,True
beta_lebanese,0.963,0.075,0.823,1.104,0.003,0.002,531.0,997.0,1.01,0.9,True
