,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.767,0.088,0.625,0.948,0.005,0.008,442.0,182.0,1.02,0.75,True
beta_cost,-0.4,0.011,-0.422,-0.386,0.001,0.002,203.0,132.0,1.04,-0.4,True
beta_log_dist,-0.594,0.047,-0.684,-0.511,0.002,0.002,527.0,778.0,1.01,-0.6,True
beta_chinese,0.871,0.127,0.647,1.12,0.01,0.017,281.0,57.0,1.03,0.83,True
beta_japanese,1.275,0.098,1.102,1.469,0.004,0.003,624.0,437.0,1.01,1.25,True
beta_korean,0.747,0.136,0.489,0.983,0.006,0.006,504.0,584.0,1.02,0.75,True
beta_indian,0.982,0.146,0.717,1.253,0.006,0.006,570.0,719.0,1.01,1.0,True
beta_french,0.964,0.076,0.816,1.085,0.005,0.004,329.0,295.0,1.01,0.95,True
beta_mexican,1.316,0.056,1.208,1.416,0.004,0.002,302.0,468.0,1.03,1.3,True
beta_lebanese,0.881,0.118,0.647,1.081,0.005,0.005,494.0,548.0,1.01,0.9,True
