,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.723,0.067,0.608,0.853,0.003,0.001,673.0,1164.0,1.01,0.75,True
beta_cost,-0.41,0.011,-0.428,-0.391,0.001,0.001,482.0,211.0,1.01,-0.4,True
beta_log_dist,-0.584,0.068,-0.708,-0.461,0.003,0.001,677.0,923.0,1.0,-0.6,True
beta_chinese,0.677,0.162,0.42,0.979,0.009,0.011,346.0,279.0,1.02,0.83,True
beta_japanese,1.156,0.155,0.879,1.443,0.008,0.007,386.0,464.0,1.01,1.25,True
beta_korean,0.55,0.187,0.23,0.906,0.008,0.004,554.0,1091.0,1.0,0.75,True
beta_indian,0.947,0.154,0.661,1.219,0.009,0.005,275.0,468.0,1.02,1.0,True
beta_french,0.813,0.176,0.483,1.13,0.007,0.004,692.0,872.0,1.0,0.95,True
beta_mexican,1.157,0.091,0.979,1.311,0.004,0.002,678.0,945.0,1.01,1.3,True
beta_lebanese,0.765,0.153,0.491,1.05,0.006,0.003,611.0,805.0,1.0,0.9,True
