,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.729,0.057,0.626,0.837,0.002,0.001,725.0,1042.0,1.01,0.75,True
beta_cost,-0.399,0.004,-0.406,-0.392,0.0,0.0,673.0,1059.0,1.01,-0.4,True
beta_log_dist,-0.605,0.047,-0.691,-0.519,0.002,0.001,600.0,1114.0,1.01,-0.6,True
beta_chinese,0.752,0.076,0.613,0.892,0.003,0.002,566.0,704.0,1.01,0.83,True
beta_japanese,1.205,0.08,1.065,1.362,0.004,0.002,474.0,804.0,1.01,1.25,True
beta_korean,0.67,0.097,0.492,0.847,0.004,0.002,614.0,951.0,1.01,0.75,True
beta_indian,0.89,0.123,0.67,1.119,0.005,0.003,603.0,851.0,1.0,1.0,True
beta_french,0.862,0.093,0.696,1.033,0.004,0.002,511.0,607.0,1.02,0.95,True
beta_mexican,1.216,0.087,1.052,1.373,0.004,0.002,403.0,753.0,1.02,1.3,True
beta_lebanese,0.818,0.092,0.648,0.987,0.004,0.002,422.0,661.0,1.01,0.9,True
