,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.749,0.034,0.686,0.81,0.001,0.001,668.0,1119.0,1.01,0.75,True
beta_cost,-0.409,0.003,-0.415,-0.403,0.0,0.0,639.0,1303.0,1.0,-0.4,False
beta_log_dist,-0.607,0.036,-0.672,-0.539,0.001,0.001,753.0,1289.0,1.0,-0.6,True
beta_chinese,0.811,0.064,0.683,0.921,0.003,0.001,640.0,1105.0,1.01,0.83,True
beta_japanese,1.251,0.06,1.146,1.361,0.002,0.001,709.0,1327.0,1.0,1.25,True
beta_korean,0.743,0.092,0.577,0.914,0.004,0.002,656.0,1075.0,1.0,0.75,True
beta_indian,1.002,0.077,0.864,1.143,0.003,0.001,484.0,1096.0,1.01,1.0,True
beta_french,0.916,0.066,0.794,1.041,0.002,0.001,749.0,1261.0,1.01,0.95,True
beta_mexican,1.301,0.074,1.168,1.447,0.003,0.001,723.0,978.0,1.01,1.3,True
beta_lebanese,0.911,0.062,0.796,1.024,0.003,0.001,616.0,968.0,1.0,0.9,True
