-11.150170027215756,-11.941003753652486
-9.842100989240272,-13.474042474956663
-26.571564489382915,-13.712670819871102
-10.655220029354478,-11.847032903088776
-9.609837247761515,-12.057588842153862
-9.739536325815353,-11.737268325452007
-49.77213311476752,-13.662340406991621
-8.960135711512715,-11.975896342024592
-31.82343155344423,-13.641062248044966
-36.99014625184115,-13.658604241489803
-56.12166800609788,-13.656216684212689
-12.084013493156899,-12.05490417534218
-43.36588113092092,-13.725644886192311
-5.8033619864935755,-10.719783383286684
-6.962115703915704,-11.036836659112364
-13.193901377043796,-11.933811373012093
-12.818182247326863,-11.99625505791815
-41.45662728999462,-13.70819672133724
-9.85612620535092,-13.212935348463303
-7.855607445814025,-11.840003780143384
-11.236346527299816,-11.866696322387984
-6.761246403315533,-12.159287406776082
-18.015532627256913,-13.57612992661109
-14.094724194209464,-11.996060689206379
-54.26427327075182,-13.731476177208329
-58.61498689722385,-13.730520439438843
-21.89481539133403,-13.625586787464389
-43.40434130032022,-13.721399583332591
-5.8566076323836365,-11.536991852336241
-43.610769839702925,-13.63339093929053
-52.56683621887736,-13.708915598197349
-10.107817780886174,-12.050264621138265
-5.989255223667076,-11.326787986506888
-30.905898884472325,-13.6887818079631
-8.10320140249873,-12.164758418199883
-25.579750144459485,-13.630562214906076
-48.40061882570848,-13.671148423615215
-12.601763876724569,-11.859918779231377
-12.281437166220964,-13.426821683612653
-28.71445261138124,-13.678097548954486
-14.93712217734687,-12.092083083722738
-6.946773499694081,-12.724510644920267
-5.621950393507001,-12.607103522664085
-8.482916373164551,-12.003068831922004
-9.861794940572583,-11.82855364572548
-25.185671717934138,-13.681019459329503
-13.238641035221354,-13.520036640684772
-6.426183124177754,-10.923670371673253
-19.962675904497484,-13.629568706053385
-6.512802287664435,-11.009446451760953
-4.245502314775971,-11.342058225374773
-4.559784539966106,-11.664955110825401
-5.3506925439785045,-10.983678582507142
-5.755539658830317,-11.488950048007215
-4.100206351712724,-10.721946081183896
-4.549933343824958,-10.648590419080326
-6.367272284861298,-10.747024008126836
-5.508544599810846,-11.172936381614443
-4.53601494492268,-9.965369960675133
-5.007199745721706,-11.041192555387855
-4.836022070437441,-10.729512342610452
-5.137635064026293,-11.126602261674872
-3.884247174646983,-9.946917254637432
-3.9169777882165286,-9.51540690912338
-4.080857648620645,-10.277196727712886
-3.948026987371029,-10.060091039292809
-4.1487483430779655,-10.15251264147929
-4.061243653815971,-10.373017338373637
-4.039336450292846,-10.052476913259364
-4.3966936521862525,-10.320691162927092
-3.822902834454428,-11.025377502532876
-3.7573314018987753,-10.760040714474504
-3.843456724210753,-10.4699343778996
-3.785492902247058,-10.378701878626458
-3.6831293095986077,-10.885566959099602
-3.7245612266034924,-10.439215063413448
-3.7176932870324877,-11.561966178172826
-3.7391865511724878,-11.639610628658648
-3.625686174799849,-10.867376680925904
-3.6100676956087514,-11.187404007317491
-3.6024232363173656,-10.83481341133965
-3.6105628299761134,-10.747929157249828
-3.7064900594007737,-11.328095494651789
-3.745727701149355,-10.965746297450977
-3.5338750892765924,-10.965435303521149
-3.535376147167219,-11.21516377995989
-3.6412166879230656,-11.602167237030784
-3.618514176761849,-11.307289360313396
-3.5953561995207735,-11.393951939274752
-3.6775875501658937,-11.693379733552772
-3.5229946368827822,-11.104110642057467
-3.5301834209155665,-10.440817427560438
-3.591220369350213,-11.156343958757338
-3.595812325609849,-10.822582316931088
-3.5661895891065827,-10.869829532438128
-3.54373622581099,-11.072033268373362
-3.524289235576309,-10.302044719144877
-3.5631189693984426,-10.751354905628933
-3.500596606065971,-10.775317052536378
-3.5018410411762275,-10.94367721497055
-3.491833925037575,-10.664961250468611
-3.508748678235308,-10.257959450095564
-3.5056484096846177,-10.831710214623794
-3.512939179297521,-10.648807097006392
-3.491524222282783,-10.838584039988197
-3.4787322229791595,-10.735365333888478
-3.524615469898202,-9.684266766779688
-3.4999871239485265,-10.304338900335166
-3.4791374208753543,-10.886771272255418
-3.483294772744471,-11.009139922313745
-3.478462621543945,-10.439862521083345
-3.4801665048237203,-10.659720306697926
-3.479253087410721,-10.62473955118073
-3.4812868659384804,-10.962635962993025
-3.4792056403118035,-11.03141930668078
-3.4847411921257287,-11.09765613287541
-3.4731172287363234,-10.946639193366728
-3.4742226450724254,-10.86568040264594
-3.4722506590368845,-10.750324292868436
-3.475246195066831,-10.722721938477306
