,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.759,0.036,0.691,0.823,0.001,0.001,652.0,1002.0,1.01,0.75,True
beta_cost,-0.402,0.005,-0.412,-0.393,0.0,0.0,654.0,908.0,1.01,-0.4,True
beta_log_dist,-0.587,0.027,-0.635,-0.536,0.001,0.001,625.0,846.0,1.01,-0.6,True
beta_chinese,0.676,0.095,0.5,0.846,0.004,0.002,518.0,989.0,1.01,0.83,True
beta_japanese,1.119,0.072,0.993,1.256,0.003,0.002,539.0,684.0,1.01,1.25,True
beta_korean,0.66,0.093,0.486,0.832,0.004,0.002,527.0,926.0,1.02,0.75,True
beta_indian,0.833,0.077,0.696,0.981,0.003,0.001,588.0,1020.0,1.01,1.0,False
beta_french,0.835,0.161,0.56,1.15,0.007,0.004,587.0,973.0,1.01,0.95,True
beta_mexican,1.192,0.075,1.049,1.323,0.004,0.001,422.0,1036.0,1.02,1.3,True
beta_lebanese,0.793,0.091,0.626,0.956,0.004,0.002,566.0,1106.0,1.02,0.9,True
