,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.743,0.058,0.636,0.85,0.002,0.001,678.0,1053.0,1.01,0.75,True
beta_cost,-0.409,0.007,-0.422,-0.394,0.0,0.0,739.0,1080.0,1.0,-0.4,True
beta_log_dist,-0.58,0.042,-0.656,-0.503,0.002,0.001,593.0,1119.0,1.01,-0.6,True
beta_chinese,0.799,0.097,0.617,0.971,0.004,0.002,679.0,966.0,1.01,0.83,True
beta_japanese,1.252,0.067,1.121,1.37,0.003,0.001,579.0,1009.0,1.01,1.25,True
beta_korean,0.785,0.12,0.575,1.017,0.006,0.002,395.0,933.0,1.01,0.75,True
beta_indian,0.86,0.141,0.589,1.106,0.006,0.004,626.0,920.0,1.01,1.0,True
beta_french,0.831,0.089,0.658,0.986,0.003,0.002,710.0,1093.0,1.01,0.95,True
beta_mexican,1.287,0.086,1.117,1.434,0.004,0.002,585.0,1110.0,1.02,1.3,True
beta_lebanese,0.822,0.076,0.676,0.959,0.003,0.001,607.0,1035.0,1.01,0.9,True
