,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.761,0.043,0.679,0.838,0.002,0.001,541.0,1020.0,1.01,0.75,True
beta_cost,-0.406,0.002,-0.41,-0.402,0.0,0.0,597.0,1132.0,1.0,-0.4,False
beta_log_dist,-0.565,0.03,-0.622,-0.513,0.001,0.001,769.0,1177.0,1.01,-0.6,True
beta_chinese,0.684,0.083,0.525,0.834,0.004,0.002,439.0,773.0,1.01,0.83,True
beta_japanese,1.111,0.063,1.001,1.236,0.003,0.001,523.0,1023.0,1.01,1.25,False
beta_korean,0.68,0.108,0.487,0.877,0.005,0.002,519.0,1308.0,1.01,0.75,True
beta_indian,0.829,0.08,0.693,0.983,0.003,0.002,563.0,827.0,1.01,1.0,False
beta_french,0.849,0.164,0.551,1.154,0.007,0.004,505.0,836.0,1.01,0.95,True
beta_mexican,1.157,0.073,1.023,1.295,0.003,0.002,563.0,695.0,1.01,1.3,False
beta_lebanese,0.784,0.091,0.61,0.948,0.003,0.002,689.0,790.0,1.0,0.9,True
