,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.762,0.043,0.685,0.841,0.002,0.001,599.0,1115.0,1.01,0.75,True
beta_cost,-0.406,0.002,-0.41,-0.402,0.0,0.0,692.0,1225.0,1.0,-0.4,False
beta_log_dist,-0.567,0.031,-0.622,-0.51,0.001,0.001,735.0,1375.0,1.0,-0.6,True
beta_chinese,0.678,0.084,0.521,0.832,0.003,0.002,674.0,854.0,1.01,0.83,True
beta_japanese,1.103,0.065,0.993,1.228,0.003,0.002,579.0,720.0,1.01,1.25,False
beta_korean,0.677,0.105,0.483,0.865,0.004,0.002,608.0,1099.0,1.01,0.75,True
beta_indian,0.828,0.084,0.667,0.976,0.004,0.002,531.0,815.0,1.01,1.0,False
beta_french,0.857,0.164,0.557,1.162,0.007,0.003,549.0,1198.0,1.01,0.95,True
beta_mexican,1.152,0.075,1.002,1.282,0.003,0.001,743.0,867.0,1.01,1.3,False
beta_lebanese,0.784,0.089,0.619,0.94,0.004,0.002,565.0,507.0,1.01,0.9,True
