,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.781,0.077,0.635,0.919,0.003,0.002,517.0,913.0,1.01,0.75,True
beta_cost,-0.402,0.013,-0.419,-0.377,0.001,0.002,348.0,534.0,1.01,-0.4,True
beta_log_dist,-0.587,0.065,-0.701,-0.467,0.003,0.002,657.0,1063.0,1.01,-0.6,True
beta_chinese,0.879,0.042,0.802,0.954,0.002,0.001,559.0,841.0,1.01,0.83,True
beta_japanese,1.318,0.092,1.156,1.499,0.004,0.003,455.0,614.0,1.01,1.25,True
beta_korean,0.863,0.16,0.587,1.184,0.007,0.004,498.0,911.0,1.01,0.75,True
beta_indian,1.065,0.158,0.786,1.35,0.008,0.01,451.0,644.0,1.01,1.0,True
beta_french,0.931,0.148,0.665,1.217,0.006,0.004,565.0,648.0,1.0,0.95,True
beta_mexican,1.33,0.107,1.131,1.528,0.005,0.003,544.0,847.0,1.01,1.3,True
beta_lebanese,0.924,0.198,0.542,1.274,0.009,0.007,484.0,601.0,1.01,0.9,True
