,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.763,0.065,0.65,0.892,0.003,0.001,627.0,964.0,1.0,0.75,True
beta_cost,-0.405,0.013,-0.427,-0.379,0.001,0.001,353.0,474.0,1.02,-0.4,True
beta_log_dist,-0.578,0.042,-0.659,-0.508,0.002,0.003,370.0,337.0,1.01,-0.6,True
beta_chinese,0.858,0.057,0.755,0.968,0.003,0.001,466.0,597.0,1.01,0.83,True
beta_japanese,1.319,0.065,1.193,1.433,0.003,0.003,486.0,531.0,1.01,1.25,True
beta_korean,0.841,0.139,0.616,1.118,0.007,0.006,458.0,441.0,1.02,0.75,True
beta_indian,0.971,0.182,0.65,1.298,0.009,0.007,469.0,500.0,1.02,1.0,True
beta_french,0.901,0.103,0.703,1.081,0.004,0.002,608.0,864.0,1.01,0.95,True
beta_mexican,1.344,0.088,1.187,1.51,0.004,0.003,455.0,520.0,1.01,1.3,True
beta_lebanese,0.9,0.089,0.756,1.066,0.004,0.004,559.0,457.0,1.01,0.9,True
