,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.748,0.046,0.665,0.835,0.002,0.001,716.0,1346.0,1.0,0.75,True
beta_cost,-0.4,0.004,-0.408,-0.392,0.0,0.0,655.0,1100.0,1.01,-0.4,True
beta_log_dist,-0.6,0.04,-0.679,-0.53,0.002,0.001,597.0,978.0,1.01,-0.6,True
beta_chinese,0.746,0.075,0.612,0.884,0.003,0.002,632.0,996.0,1.01,0.83,True
beta_japanese,1.195,0.067,1.073,1.319,0.003,0.001,648.0,1145.0,1.01,1.25,True
beta_korean,0.708,0.092,0.528,0.873,0.004,0.002,617.0,988.0,1.01,0.75,True
beta_indian,0.895,0.136,0.646,1.146,0.006,0.003,558.0,990.0,1.01,1.0,True
beta_french,0.841,0.088,0.681,1.004,0.004,0.002,458.0,782.0,1.02,0.95,True
beta_mexican,1.218,0.072,1.089,1.354,0.003,0.001,599.0,1199.0,1.01,1.3,True
beta_lebanese,0.802,0.086,0.651,0.962,0.003,0.002,705.0,1229.0,1.0,0.9,True
