,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.748,0.046,0.666,0.835,0.002,0.001,571.0,774.0,1.01,0.75,True
beta_cost,-0.4,0.004,-0.407,-0.392,0.0,0.0,554.0,922.0,1.01,-0.4,True
beta_log_dist,-0.599,0.04,-0.668,-0.52,0.001,0.001,721.0,1178.0,1.01,-0.6,True
beta_chinese,0.748,0.071,0.621,0.881,0.003,0.002,579.0,1030.0,1.01,0.83,True
beta_japanese,1.197,0.067,1.08,1.331,0.003,0.001,543.0,959.0,1.01,1.25,True
beta_korean,0.708,0.091,0.527,0.859,0.004,0.002,589.0,917.0,1.01,0.75,True
beta_indian,0.904,0.135,0.655,1.146,0.006,0.003,499.0,913.0,1.01,1.0,True
beta_french,0.836,0.088,0.674,0.996,0.004,0.002,628.0,825.0,1.0,0.95,True
beta_mexican,1.222,0.071,1.084,1.348,0.003,0.002,628.0,1028.0,1.01,1.3,True
beta_lebanese,0.802,0.083,0.66,0.962,0.003,0.002,582.0,911.0,1.0,0.9,True
