,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.78,0.074,0.646,0.909,0.003,0.002,591.0,914.0,1.0,0.75,True
beta_cost,-0.403,0.008,-0.42,-0.39,0.0,0.0,498.0,526.0,1.01,-0.4,True
beta_log_dist,-0.567,0.057,-0.669,-0.463,0.002,0.001,549.0,919.0,1.01,-0.6,True
beta_chinese,0.723,0.124,0.488,0.944,0.007,0.005,356.0,445.0,1.01,0.83,True
beta_japanese,1.285,0.761,-0.065,2.651,0.033,0.014,515.0,913.0,1.01,1.25,True
beta_korean,0.72,0.245,0.265,1.169,0.013,0.007,384.0,538.0,1.01,0.75,True
beta_indian,0.773,0.518,-0.141,1.726,0.028,0.016,335.0,485.0,1.02,1.0,True
beta_french,0.907,0.25,0.472,1.381,0.012,0.008,440.0,626.0,1.0,0.95,True
beta_mexican,1.213,0.156,0.946,1.515,0.007,0.004,476.0,661.0,1.01,1.3,True
beta_lebanese,0.825,0.249,0.329,1.242,0.011,0.005,525.0,955.0,1.01,0.9,True
