,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.75,0.049,0.662,0.843,0.002,0.001,675.0,858.0,1.01,0.75,True
beta_cost,-0.406,0.003,-0.412,-0.4,0.0,0.0,829.0,1237.0,1.01,-0.4,True
beta_log_dist,-0.569,0.034,-0.634,-0.508,0.001,0.001,699.0,1157.0,1.02,-0.6,True
beta_chinese,0.779,0.131,0.537,1.022,0.006,0.003,551.0,975.0,1.0,0.83,True
beta_japanese,1.206,0.114,1.009,1.43,0.005,0.002,606.0,841.0,1.0,1.25,True
beta_korean,0.635,0.129,0.397,0.869,0.005,0.003,633.0,934.0,1.0,0.75,True
beta_indian,0.896,0.097,0.713,1.076,0.005,0.002,451.0,937.0,1.02,1.0,True
beta_french,0.802,0.081,0.659,0.962,0.004,0.002,491.0,866.0,1.01,0.95,True
beta_mexican,1.15,0.093,0.98,1.323,0.004,0.002,530.0,967.0,1.01,1.3,True
beta_lebanese,0.776,0.119,0.553,0.992,0.005,0.002,639.0,1134.0,1.01,0.9,True
