,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.762,0.048,0.668,0.841,0.002,0.001,478.0,777.0,1.01,0.75,True
beta_cost,-0.405,0.007,-0.419,-0.393,0.0,0.0,353.0,432.0,1.01,-0.4,True
beta_log_dist,-0.564,0.038,-0.632,-0.496,0.002,0.001,622.0,1119.0,1.01,-0.6,True
beta_chinese,0.681,0.101,0.504,0.87,0.005,0.005,419.0,397.0,1.01,0.83,True
beta_japanese,1.103,0.088,0.955,1.27,0.004,0.004,434.0,473.0,1.01,1.25,True
beta_korean,0.676,0.123,0.434,0.88,0.006,0.004,386.0,574.0,1.01,0.75,True
beta_indian,0.845,0.109,0.637,1.028,0.006,0.005,375.0,394.0,1.01,1.0,True
beta_french,0.879,0.151,0.595,1.146,0.007,0.004,435.0,534.0,1.01,0.95,True
beta_mexican,1.175,0.086,1.0,1.316,0.004,0.004,456.0,612.0,1.01,1.3,True
beta_lebanese,0.78,0.099,0.596,0.953,0.005,0.004,437.0,471.0,1.01,0.9,True
