,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.754,0.04,0.682,0.832,0.002,0.001,658.0,1110.0,1.01,0.75,True
beta_cost,-0.415,0.003,-0.421,-0.409,0.0,0.0,710.0,1113.0,1.0,-0.4,False
beta_log_dist,-0.592,0.044,-0.668,-0.506,0.002,0.001,698.0,1136.0,1.01,-0.6,True
beta_chinese,0.922,0.084,0.763,1.072,0.003,0.002,602.0,1233.0,1.01,0.83,True
beta_japanese,1.329,0.094,1.159,1.504,0.004,0.002,679.0,1114.0,1.0,1.25,True
beta_korean,0.773,0.102,0.579,0.963,0.004,0.002,695.0,869.0,1.01,0.75,True
beta_indian,1.083,0.086,0.925,1.248,0.004,0.002,607.0,1047.0,1.01,1.0,True
beta_french,1.009,0.071,0.879,1.14,0.003,0.001,626.0,1034.0,1.01,0.95,True
beta_mexican,1.335,0.068,1.211,1.46,0.002,0.001,772.0,1255.0,1.01,1.3,True
beta_lebanese,0.927,0.087,0.766,1.084,0.003,0.002,689.0,1036.0,1.0,0.9,True
