,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.756,0.042,0.681,0.833,0.002,0.001,558.0,1257.0,1.01,0.75,True
beta_cost,-0.415,0.003,-0.421,-0.41,0.0,0.0,531.0,980.0,1.01,-0.4,False
beta_log_dist,-0.598,0.044,-0.685,-0.52,0.002,0.001,725.0,1182.0,1.0,-0.6,True
beta_chinese,0.919,0.088,0.76,1.087,0.003,0.002,736.0,1227.0,1.0,0.83,True
beta_japanese,1.348,0.103,1.152,1.537,0.004,0.002,561.0,885.0,1.01,1.25,True
beta_korean,0.787,0.103,0.597,0.974,0.004,0.002,793.0,1258.0,1.01,0.75,True
beta_indian,1.086,0.086,0.928,1.244,0.004,0.002,520.0,954.0,1.01,1.0,True
beta_french,1.008,0.072,0.875,1.138,0.003,0.001,612.0,1335.0,1.01,0.95,True
beta_mexican,1.336,0.071,1.201,1.46,0.003,0.001,605.0,962.0,1.01,1.3,True
beta_lebanese,0.926,0.089,0.767,1.095,0.003,0.002,736.0,1198.0,1.01,0.9,True
