,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.751,0.047,0.669,0.845,0.002,0.001,620.0,966.0,1.01,0.75,True
beta_cost,-0.406,0.003,-0.412,-0.4,0.0,0.0,719.0,878.0,1.01,-0.4,True
beta_log_dist,-0.572,0.035,-0.639,-0.51,0.001,0.001,596.0,982.0,1.01,-0.6,True
beta_chinese,0.785,0.129,0.536,1.011,0.005,0.003,576.0,998.0,1.01,0.83,True
beta_japanese,1.216,0.112,1.001,1.412,0.005,0.002,525.0,906.0,1.01,1.25,True
beta_korean,0.637,0.127,0.397,0.864,0.005,0.003,589.0,959.0,1.0,0.75,True
beta_indian,0.899,0.098,0.722,1.087,0.005,0.002,461.0,926.0,1.02,1.0,True
beta_french,0.803,0.079,0.658,0.947,0.003,0.002,665.0,1174.0,1.0,0.95,False
beta_mexican,1.154,0.089,0.999,1.331,0.004,0.002,521.0,955.0,1.01,1.3,True
beta_lebanese,0.779,0.119,0.564,0.99,0.005,0.002,595.0,1099.0,1.01,0.9,True
