,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.752,0.059,0.65,0.864,0.002,0.001,747.0,1184.0,1.0,0.75,True
beta_cost,-0.397,0.004,-0.404,-0.388,0.0,0.0,800.0,1066.0,1.01,-0.4,True
beta_log_dist,-0.586,0.037,-0.656,-0.521,0.002,0.001,600.0,1086.0,1.01,-0.6,True
beta_chinese,0.683,0.113,0.485,0.904,0.004,0.003,670.0,851.0,1.01,0.83,True
beta_japanese,1.144,0.09,0.985,1.321,0.004,0.002,577.0,984.0,1.01,1.25,True
beta_korean,0.576,0.086,0.413,0.733,0.003,0.002,639.0,946.0,1.01,0.75,False
beta_indian,0.86,0.098,0.674,1.033,0.004,0.002,669.0,950.0,1.0,1.0,True
beta_french,0.829,0.086,0.66,0.98,0.004,0.002,525.0,1075.0,1.01,0.95,True
beta_mexican,1.164,0.065,1.05,1.288,0.003,0.001,654.0,1091.0,1.0,1.3,False
beta_lebanese,0.756,0.084,0.612,0.923,0.003,0.002,688.0,1073.0,1.01,0.9,True
