,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.749,0.029,0.696,0.802,0.001,0.001,579.0,892.0,1.01,0.75,True
beta_cost,-0.401,0.006,-0.412,-0.39,0.0,0.0,656.0,1182.0,1.01,-0.4,True
beta_log_dist,-0.594,0.021,-0.632,-0.555,0.001,0.0,650.0,990.0,1.0,-0.6,True
beta_chinese,0.678,0.059,0.575,0.793,0.003,0.001,514.0,755.0,1.01,0.83,False
beta_japanese,1.124,0.05,1.033,1.219,0.002,0.001,649.0,741.0,1.01,1.25,False
beta_korean,0.645,0.069,0.515,0.771,0.003,0.001,616.0,1008.0,1.01,0.75,True
beta_indian,0.85,0.054,0.754,0.953,0.002,0.001,562.0,577.0,1.01,1.0,False
beta_french,0.807,0.086,0.661,0.979,0.004,0.002,566.0,867.0,1.01,0.95,True
beta_mexican,1.163,0.048,1.073,1.255,0.002,0.001,485.0,578.0,1.01,1.3,False
beta_lebanese,0.781,0.07,0.655,0.911,0.003,0.002,558.0,691.0,1.01,0.9,True
