,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.754,0.049,0.668,0.848,0.002,0.001,721.0,1239.0,1.0,0.75,True
beta_cost,-0.396,0.003,-0.402,-0.389,0.0,0.0,708.0,1017.0,1.01,-0.4,True
beta_log_dist,-0.592,0.051,-0.678,-0.491,0.002,0.001,640.0,1046.0,1.0,-0.6,True
beta_chinese,0.677,0.213,0.3,1.07,0.008,0.004,638.0,1235.0,1.0,0.83,True
beta_japanese,1.127,0.13,0.899,1.381,0.005,0.003,599.0,879.0,1.01,1.25,True
beta_korean,0.541,0.122,0.313,0.766,0.005,0.002,566.0,1274.0,1.0,0.75,True
beta_indian,0.825,0.115,0.633,1.037,0.005,0.006,547.0,1031.0,1.01,1.0,True
beta_french,0.821,0.093,0.655,0.988,0.004,0.004,607.0,912.0,1.01,0.95,True
beta_mexican,1.15,0.087,0.984,1.311,0.003,0.002,654.0,941.0,1.0,1.3,True
beta_lebanese,0.689,0.146,0.425,0.955,0.006,0.003,630.0,1091.0,1.0,0.9,True
