,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.748,0.05,0.654,0.837,0.002,0.001,752.0,1094.0,1.01,0.75,True
beta_cost,-0.396,0.004,-0.403,-0.39,0.0,0.0,381.0,487.0,1.01,-0.4,True
beta_log_dist,-0.596,0.057,-0.693,-0.485,0.002,0.001,619.0,1063.0,1.01,-0.6,True
beta_chinese,0.742,0.317,0.195,1.372,0.018,0.018,368.0,274.0,1.01,0.83,True
beta_japanese,1.11,0.111,0.899,1.298,0.005,0.005,531.0,747.0,1.0,1.25,True
beta_korean,0.554,0.145,0.273,0.786,0.009,0.014,401.0,202.0,1.02,0.75,True
beta_indian,0.82,0.154,0.556,1.059,0.013,0.024,275.0,179.0,1.02,1.0,True
beta_french,0.838,0.114,0.662,1.037,0.008,0.014,381.0,222.0,1.02,0.95,True
beta_mexican,1.152,0.089,0.981,1.311,0.004,0.003,563.0,878.0,1.01,1.3,True
beta_lebanese,0.691,0.165,0.372,0.982,0.008,0.007,473.0,417.0,1.01,0.9,True
