,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.729,0.058,0.627,0.844,0.002,0.001,676.0,1314.0,1.01,0.75,True
beta_cost,-0.392,0.008,-0.407,-0.376,0.0,0.0,573.0,656.0,1.01,-0.4,True
beta_log_dist,-0.591,0.034,-0.651,-0.527,0.001,0.001,726.0,946.0,1.01,-0.6,True
beta_chinese,0.81,0.078,0.665,0.955,0.003,0.002,507.0,559.0,1.01,0.83,True
beta_japanese,1.263,0.057,1.154,1.367,0.002,0.001,560.0,735.0,1.01,1.25,True
beta_korean,0.779,0.115,0.576,0.994,0.005,0.002,584.0,1197.0,1.01,0.75,True
beta_indian,0.893,0.125,0.655,1.129,0.005,0.003,668.0,864.0,1.01,1.0,True
beta_french,0.914,0.089,0.755,1.084,0.004,0.002,589.0,738.0,1.01,0.95,True
beta_mexican,1.27,0.072,1.139,1.404,0.003,0.002,478.0,960.0,1.01,1.3,True
beta_lebanese,0.87,0.096,0.69,1.038,0.004,0.002,595.0,1139.0,1.01,0.9,True
