,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.73,0.059,0.631,0.846,0.002,0.001,559.0,1106.0,1.01,0.75,True
beta_cost,-0.392,0.008,-0.407,-0.377,0.0,0.0,520.0,640.0,1.02,-0.4,True
beta_log_dist,-0.592,0.034,-0.656,-0.533,0.001,0.001,728.0,1033.0,1.0,-0.6,True
beta_chinese,0.808,0.077,0.665,0.949,0.003,0.002,592.0,698.0,1.01,0.83,True
beta_japanese,1.265,0.056,1.164,1.371,0.003,0.001,444.0,749.0,1.02,1.25,True
beta_korean,0.78,0.115,0.582,0.999,0.005,0.002,590.0,1035.0,1.01,0.75,True
beta_indian,0.905,0.131,0.68,1.155,0.005,0.003,598.0,928.0,1.02,1.0,True
beta_french,0.914,0.09,0.755,1.081,0.004,0.002,589.0,1040.0,1.02,0.95,True
beta_mexican,1.272,0.075,1.132,1.405,0.004,0.002,386.0,623.0,1.01,1.3,True
beta_lebanese,0.873,0.094,0.694,1.045,0.005,0.002,354.0,600.0,1.01,0.9,True
