,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.759,0.043,0.676,0.834,0.002,0.001,565.0,926.0,1.01,0.75,True
beta_cost,-0.401,0.006,-0.412,-0.391,0.0,0.0,523.0,593.0,1.01,-0.4,True
beta_log_dist,-0.58,0.036,-0.639,-0.51,0.002,0.001,501.0,1121.0,1.01,-0.6,True
beta_chinese,0.766,0.09,0.601,0.926,0.004,0.002,511.0,782.0,1.01,0.83,True
beta_japanese,1.222,0.076,1.091,1.368,0.003,0.002,532.0,764.0,1.01,1.25,True
beta_korean,0.758,0.089,0.589,0.917,0.004,0.002,554.0,1010.0,1.01,0.75,True
beta_indian,0.94,0.076,0.809,1.091,0.003,0.002,576.0,965.0,1.01,1.0,True
beta_french,0.938,0.129,0.684,1.16,0.006,0.003,506.0,747.0,1.0,0.95,True
beta_mexican,1.283,0.072,1.159,1.425,0.003,0.002,470.0,641.0,1.01,1.3,True
beta_lebanese,0.934,0.114,0.718,1.133,0.005,0.003,471.0,728.0,1.01,0.9,True
