,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.753,0.051,0.655,0.841,0.002,0.001,690.0,836.0,1.01,0.75,True
beta_cost,-0.415,0.007,-0.429,-0.403,0.0,0.0,673.0,750.0,1.01,-0.4,False
beta_log_dist,-0.585,0.058,-0.695,-0.485,0.002,0.001,556.0,1052.0,1.0,-0.6,True
beta_chinese,0.778,0.114,0.567,0.994,0.004,0.002,666.0,1002.0,1.0,0.83,True
beta_japanese,1.211,0.076,1.079,1.354,0.003,0.002,590.0,879.0,1.0,1.25,True
beta_korean,0.788,0.124,0.533,0.998,0.005,0.003,610.0,939.0,1.01,0.75,True
beta_indian,0.927,0.145,0.66,1.183,0.007,0.003,486.0,712.0,1.0,1.0,True
beta_french,0.792,0.107,0.607,1.003,0.005,0.002,447.0,993.0,1.0,0.95,True
beta_mexican,1.294,0.074,1.16,1.43,0.003,0.001,710.0,1022.0,1.01,1.3,True
beta_lebanese,0.832,0.1,0.635,1.001,0.005,0.002,454.0,905.0,1.01,0.9,True
