,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.772,0.051,0.676,0.863,0.002,0.001,644.0,926.0,1.01,0.75,True
beta_cost,-0.413,0.008,-0.429,-0.4,0.0,0.0,605.0,950.0,1.01,-0.4,True
beta_log_dist,-0.581,0.043,-0.66,-0.507,0.002,0.001,601.0,1200.0,1.0,-0.6,True
beta_chinese,0.822,0.129,0.581,1.048,0.006,0.003,528.0,1020.0,1.01,0.83,True
beta_japanese,1.235,0.063,1.117,1.345,0.003,0.001,570.0,1088.0,1.01,1.25,True
beta_korean,0.798,0.11,0.587,0.991,0.005,0.002,521.0,953.0,1.01,0.75,True
beta_indian,0.964,0.155,0.689,1.259,0.006,0.003,685.0,1076.0,1.01,1.0,True
beta_french,0.837,0.093,0.667,1.01,0.004,0.002,608.0,1070.0,1.01,0.95,True
beta_mexican,1.283,0.084,1.123,1.433,0.004,0.002,541.0,1143.0,1.01,1.3,True
beta_lebanese,0.858,0.101,0.67,1.042,0.004,0.002,805.0,1366.0,1.0,0.9,True
