,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.749,0.057,0.643,0.851,0.002,0.001,662.0,773.0,1.01,0.75,True
beta_cost,-0.397,0.004,-0.404,-0.389,0.0,0.0,540.0,862.0,1.01,-0.4,True
beta_log_dist,-0.584,0.035,-0.647,-0.517,0.001,0.001,695.0,1309.0,1.01,-0.6,True
beta_chinese,0.668,0.109,0.465,0.866,0.005,0.003,585.0,702.0,1.0,0.83,True
beta_japanese,1.149,0.088,0.985,1.305,0.003,0.002,798.0,1141.0,1.01,1.25,True
beta_korean,0.58,0.092,0.409,0.748,0.004,0.002,442.0,801.0,1.01,0.75,False
beta_indian,0.882,0.101,0.689,1.064,0.004,0.002,622.0,1104.0,1.01,1.0,True
beta_french,0.837,0.079,0.699,0.993,0.003,0.001,537.0,1180.0,1.01,0.95,True
beta_mexican,1.162,0.066,1.045,1.289,0.003,0.001,645.0,943.0,1.0,1.3,False
beta_lebanese,0.765,0.101,0.573,0.946,0.004,0.002,636.0,928.0,1.01,0.9,True
