,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,covered
beta_rating,0.754,0.037,0.685,0.819,0.002,0.001,557.0,1097.0,1.01,0.75,True
beta_cost,-0.401,0.005,-0.411,-0.391,0.0,0.0,638.0,1046.0,1.02,-0.4,True
beta_log_dist,-0.587,0.027,-0.635,-0.537,0.001,0.001,631.0,1022.0,1.01,-0.6,True
beta_chinese,0.684,0.098,0.507,0.869,0.004,0.002,523.0,1033.0,1.02,0.83,True
beta_japanese,1.126,0.072,0.984,1.252,0.003,0.002,676.0,995.0,1.01,1.25,True
beta_korean,0.659,0.093,0.475,0.818,0.004,0.002,559.0,854.0,1.01,0.75,True
beta_indian,0.84,0.075,0.701,0.978,0.003,0.002,572.0,897.0,1.01,1.0,False
beta_french,0.828,0.16,0.536,1.116,0.007,0.003,531.0,1021.0,1.01,0.95,True
beta_mexican,1.193,0.076,1.052,1.335,0.003,0.002,612.0,1042.0,1.0,1.3,True
beta_lebanese,0.79,0.09,0.627,0.954,0.003,0.002,684.0,953.0,1.01,0.9,True
