J,N,P,parameter,estimator,posterior_mean,posterior_sd,hdi_low,hdi_high,true_value,in_hdi,interval_width,r_hat,ess_bulk,ess_tail,abs_error,sq_error,relative_width
100,10000,10,beta_rating,MLE,0.7592950490807918,0.0214702781089965,0.7172133039871587,0.801376794174425,0.75,True,0.08416349018726632,,,,0.009295049080791817,8.639793741432881e-05,0.1122179869163551
100,10000,10,beta_cost,MLE,-0.4032145987027388,0.004185294291898631,-0.4114177755148601,-0.3950114218906175,-0.4,True,0.016406353624242587,,,,0.003214598702738769,1.0333644819649777e-05,0.04101588406060647
100,10000,10,beta_chinese,MLE,0.8545062087759676,0.059793594859420506,0.7373107628515034,0.9717016547004318,0.83,True,0.23439089184892836,,,,0.024506208775967653,0.0006005542685713141,0.28239866487822696
100,10000,10,beta_japanese,MLE,1.3087531961689773,0.05659550038397175,1.1978260154163927,1.419680376921562,1.25,True,0.22185436150516935,,,,0.05875319616897734,0.0034519380600703336,0.17748348920413548
100,10000,10,beta_korean,MLE,0.8620140733922339,0.06525010293620183,0.7341238716372783,0.9899042751471895,0.75,True,0.25578040350991116,,,,0.1120140733922339,0.012547152637920764,0.3410405380132149
100,10000,10,beta_indian,MLE,0.9766867946100937,0.07948465755021131,0.8208968658116795,1.1324767234085078,1.0,True,0.31157985759682827,,,,0.023313205389906333,0.0005435055455519577,0.31157985759682827
100,10000,10,beta_french,MLE,0.8917985197946832,0.06056931608504968,0.7730826602679858,1.0105143793213804,0.95,True,0.23743171905339466,,,,0.05820148020531679,0.0033874122980898824,0.24992812531936281
100,10000,10,beta_mexican,MLE,1.3542788291140995,0.05856203965595988,1.239497231388418,1.4690604268397809,1.3,True,0.22956319545136283,,,,0.054278829114099425,0.0029461912899976074,0.17658707342412525
100,10000,10,beta_lebanese,MLE,0.8983167944264902,0.06117362616892519,0.7784164871353968,1.0182171017175836,0.9,True,0.23980061458218682,,,,0.0016832055735098717,2.833181002694696e-06,0.2664451273135409
100,10000,10,beta_log_dist,MLE,-0.5826343648523723,0.01588859984607404,-0.6137760205506774,-0.5514927091540672,-0.6,True,0.06228331139661014,,,,0.017365635147627678,0.00030156528408052175,0.10380551899435024
100,20000,10,beta_rating,MLE,0.7372991478605514,0.015095761938495041,0.7077114544611011,0.7668868412600017,0.75,True,0.059175386798900664,,,,0.012700852139448604,0.00016131164506813617,0.07890051573186756
100,20000,10,beta_cost,MLE,-0.3986026524795163,0.0029136519519718717,-0.4043134103053812,-0.39289189465365143,-0.4,True,0.011421515651729774,,,,0.001397347520483705,1.952580093001958e-06,0.028553789129324436
100,20000,10,beta_chinese,MLE,0.8461040985870331,0.042031324500859696,0.763722702565348,0.9284854946087181,0.83,True,0.16476279204337008,,,,0.0161040985870331,0.0002593419913008815,0.19850938800406034
