J,N,P,M,file,parameter,true_value,posterior_mean,hdi_low,hdi_high,in_hdi,interval_width,relative_width,posterior_mse,abs_error,sq_error,r_hat,ess_bulk,ess_tail
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_logdist_x_age,-0.02,-0.02,-0.021,-0.018,True,0.0030000000000000027,0.15000000000000013,7.296800791699723e-07,0.0,0.0,1.0,6179.0,2450.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_rating_x_edu_sec,0.15,0.136,0.085,0.184,True,0.09899999999999999,0.6599999999999999,0.0009002173179314661,0.013999999999999985,0.00019599999999999956,1.0,6658.0,2756.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_c_16,0.09,0.075,0.041,0.107,True,0.066,0.7333333333333334,0.0005669591185455926,0.015,0.000225,1.0,2093.0,2791.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_c_19,-0.04,-0.035,-0.076,0.006,True,0.082,2.05,0.00048788072866065715,0.0049999999999999975,2.4999999999999974e-05,1.0,3320.0,3052.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_c_20,0.12,0.1,0.024,0.19,True,0.166,1.3833333333333335,0.002356623094138447,0.01999999999999999,0.0003999999999999996,1.0,3618.0,2973.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_c_21,0.22,0.237,0.21,0.262,True,0.05200000000000002,0.23636363636363644,0.0004628735528170955,0.016999999999999987,0.00028899999999999954,1.0,2949.0,2979.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_c_22,-0.18,-0.137,-0.174,-0.096,False,0.07799999999999999,0.4333333333333333,0.002224305525991097,0.04299999999999998,0.0018489999999999984,1.0,3017.0,3283.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_c_24,0.28,0.283,0.248,0.321,True,0.07300000000000001,0.26071428571428573,0.00037733200954679036,0.002999999999999947,8.999999999999683e-06,1.0,2461.0,3016.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_c_25,-0.15,-0.152,-0.27,-0.028,True,0.24200000000000002,1.6133333333333335,0.004252785360687484,0.0020000000000000018,4.0000000000000074e-06,1.0,1644.0,2469.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_c_26,0.16,0.164,0.135,0.189,True,0.05399999999999999,0.33749999999999997,0.00022588419343235093,0.0040000000000000036,1.600000000000003e-05,1.0,3002.0,2868.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_c_27,0.32,0.323,0.297,0.347,True,0.04999999999999999,0.15624999999999997,0.00018605247575135075,0.0030000000000000027,9.000000000000015e-06,1.0,3586.0,2602.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_c_29,0.24,0.255,0.214,0.293,True,0.07899999999999999,0.3291666666666666,0.0006838878087161342,0.015000000000000013,0.0002250000000000004,1.0,2333.0,3153.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_c_30,0.26,0.258,0.132,0.365,True,0.23299999999999998,0.8961538461538461,0.0037670883522096144,0.0020000000000000018,4.0000000000000074e-06,1.0,2189.0,2811.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_c_32,0.2,0.175,0.136,0.217,True,0.08099999999999999,0.4049999999999999,0.0010828288438730757,0.025000000000000022,0.0006250000000000011,1.0,1586.0,2455.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_c_33,0.3,0.095,-0.119,0.32,True,0.439,1.4633333333333334,0.05594735330720563,0.205,0.04202499999999999,1.0,2372.0,2641.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_c_34,-0.15,-0.154,-0.187,-0.126,True,0.061,0.4066666666666667,0.000280951280254097,0.0040000000000000036,1.600000000000003e-05,1.0,3384.0,2570.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_c_35,0.34,0.34,0.24,0.433,True,0.193,0.5676470588235294,0.0026022899816941472,0.0,0.0,1.0,2243.0,2981.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_d_36,0.24,0.263,0.162,0.36,True,0.19799999999999998,0.825,0.0033314711405401163,0.02300000000000002,0.0005290000000000009,1.0,2500.0,2543.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_d_37,0.28,0.283,0.216,0.353,True,0.13699999999999998,0.48928571428571416,0.0013515264911788706,0.002999999999999947,8.999999999999683e-06,1.0,2736.0,2949.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_d_38,-0.22,-0.211,-0.275,-0.151,True,0.12400000000000003,0.5636363636363637,0.0011865934127648016,0.009000000000000008,8.100000000000014e-05,1.0,1560.0,2415.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_d_39,0.2,0.186,0.12,0.249,True,0.129,0.645,0.001404733823464995,0.014000000000000012,0.00019600000000000035,1.0,2441.0,2801.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_d_41,0.26,0.282,0.218,0.343,True,0.12500000000000003,0.48076923076923084,0.001660133883357167,0.021999999999999964,0.00048399999999999843,1.0,2916.0,3026.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_d_42,-0.16,-0.181,-0.235,-0.124,True,0.11099999999999999,0.6937499999999999,0.0013321971231667438,0.02099999999999999,0.0004409999999999996,1.0,3074.0,2895.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_d_43,0.22,0.208,0.155,0.259,True,0.10400000000000001,0.4727272727272728,0.0008908351664026248,0.01200000000000001,0.00014400000000000025,1.0,3934.0,3212.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_d_44,0.18,0.151,0.088,0.211,True,0.123,0.6833333333333333,0.0019051698936409238,0.028999999999999998,0.0008409999999999998,1.0,3686.0,2914.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_d_45,0.3,0.273,0.227,0.321,True,0.094,0.31333333333333335,0.0013583911892636174,0.02699999999999997,0.0007289999999999983,1.0,3433.0,3560.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_d_46,-0.18,-0.186,-0.241,-0.129,True,0.11199999999999999,0.6222222222222222,0.0009223040079130616,0.006000000000000005,3.600000000000006e-05,1.0,3160.0,2876.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_d_49,0.26,0.272,0.214,0.331,True,0.11700000000000002,0.45000000000000007,0.001095138558372573,0.01200000000000001,0.00014400000000000025,1.0,2292.0,2799.0
100,20000,40,0,restaurants_mnl_P40_J100_N20k_I0_C0_M0_woJIT.nc,beta_d_50,0.16,0.203,0.142,0.265,True,0.12300000000000003,0.7687500000000002,0.00291802901024246,0.04300000000000001,0.0018490000000000008,1.0,2152.0,2803.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_rating,0.75,0.744,0.718,0.773,True,0.05500000000000005,0.0733333333333334,0.00025292252186232987,0.006000000000000005,3.600000000000006e-05,1.0,1816.0,1709.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_cost,-0.4,-0.383,-0.403,-0.361,True,0.04200000000000004,0.1050000000000001,0.00042384873713130093,0.017000000000000015,0.0002890000000000005,1.0,1967.0,1680.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_log_dist,-0.6,-0.613,-0.649,-0.582,True,0.06700000000000006,0.11166666666666678,0.0005050312403007857,0.013000000000000012,0.0001690000000000003,1.0,2231.0,1565.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_chinese,0.83,0.865,0.789,0.934,True,0.14500000000000002,0.17469879518072293,0.00271342437377032,0.03500000000000003,0.0012250000000000021,1.0,734.0,1241.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_japanese,1.25,1.289,1.224,1.362,True,0.13800000000000012,0.1104000000000001,0.002887474794160072,0.038999999999999924,0.0015209999999999941,1.0,755.0,1087.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_korean,0.75,0.745,0.656,0.837,True,0.18099999999999994,0.24133333333333326,0.0024466289777869007,0.0050000000000000044,2.5000000000000045e-05,1.0,760.0,1033.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_indian,1.0,1.009,0.919,1.099,True,0.17999999999999994,0.17999999999999994,0.0023732465220990626,0.008999999999999897,8.099999999999815e-05,1.01,751.0,988.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_french,0.95,0.932,0.837,1.003,True,0.16599999999999993,0.17473684210526308,0.0022077121198382957,0.017999999999999905,0.0003239999999999966,1.0,866.0,1186.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_mexican,1.3,1.361,1.285,1.443,True,0.15800000000000014,0.12153846153846164,0.00554451636179621,0.06099999999999994,0.003720999999999993,1.0,803.0,1039.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_lebanese,0.9,0.927,0.858,1.002,True,0.14400000000000002,0.16,0.002176315385849423,0.027000000000000024,0.0007290000000000013,1.0,725.0,1031.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_cost_x_logincome,0.02,0.015,0.01,0.02,True,0.01,0.5,2.9645796154347454e-05,0.005000000000000001,2.500000000000001e-05,1.0,1957.0,1710.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_logdist_x_age,-0.02,-0.02,-0.021,-0.019,True,0.0020000000000000018,0.10000000000000009,2.8187823543613894e-07,0.0,0.0,1.0,2487.0,1275.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_rating_x_edu_sec,0.15,0.162,0.132,0.194,True,0.062,0.41333333333333333,0.00041609094622072144,0.01200000000000001,0.00014400000000000025,1.0,2494.0,1760.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_c_16,0.09,0.102,0.08,0.122,True,0.041999999999999996,0.4666666666666666,0.0002720827932034082,0.011999999999999997,0.00014399999999999992,1.01,1227.0,1466.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_c_19,-0.04,-0.043,-0.067,-0.02,True,0.047,1.175,0.00017811687594556486,0.0029999999999999957,8.999999999999975e-06,1.0,1586.0,1319.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_c_20,0.12,0.135,0.084,0.189,True,0.105,0.875,0.0010159156194978877,0.015000000000000013,0.0002250000000000004,1.0,1489.0,1646.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_c_21,0.22,0.211,0.196,0.226,True,0.03,0.13636363636363635,0.00015669267693771944,0.009000000000000008,8.100000000000014e-05,1.0,1733.0,1635.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_c_22,-0.18,-0.17,-0.194,-0.144,True,0.05000000000000002,0.2777777777777779,0.0002764407455969749,0.009999999999999981,9.999999999999963e-05,1.0,1300.0,1639.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_c_24,0.28,0.285,0.263,0.307,True,0.043999999999999984,0.15714285714285706,0.00017220788104304157,0.004999999999999949,2.499999999999949e-05,1.0,1196.0,1475.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_c_25,-0.15,-0.14,-0.215,-0.067,True,0.148,0.9866666666666667,0.0016612458632791868,0.009999999999999981,9.999999999999963e-05,1.0,1032.0,1248.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_c_26,0.16,0.161,0.145,0.178,True,0.033,0.20625000000000002,8.078759858189602e-05,0.0010000000000000009,1.0000000000000019e-06,1.0,1557.0,1424.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_c_27,0.32,0.318,0.303,0.332,True,0.029000000000000026,0.09062500000000008,6.623935406635481e-05,0.0020000000000000018,4.0000000000000074e-06,1.0,1721.0,1658.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_c_29,0.24,0.246,0.22,0.27,True,0.05000000000000002,0.2083333333333334,0.00020786618201424945,0.006000000000000005,3.600000000000006e-05,1.0,1240.0,1705.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_c_30,0.26,0.257,0.188,0.324,True,0.136,0.5230769230769231,0.0013703649908689676,0.0030000000000000027,9.000000000000015e-06,1.0,1036.0,1608.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_c_32,0.2,0.214,0.191,0.24,True,0.04899999999999999,0.24499999999999994,0.00037923011184178457,0.013999999999999985,0.00019599999999999956,1.0,1267.0,1419.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_c_33,0.3,0.332,0.19,0.472,True,0.282,0.94,0.006510436394124485,0.03200000000000003,0.001024000000000002,1.0,1341.0,1372.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_c_34,-0.15,-0.163,-0.181,-0.145,True,0.036000000000000004,0.24000000000000005,0.00026712175574244957,0.013000000000000012,0.0001690000000000003,1.0,1868.0,1561.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_c_35,0.34,0.362,0.309,0.422,True,0.11299999999999999,0.3323529411764705,0.0015011261183087887,0.021999999999999964,0.00048399999999999843,1.0,1191.0,1418.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_d_36,0.24,0.244,0.185,0.305,True,0.12,0.5,0.0010698229294883823,0.0040000000000000036,1.600000000000003e-05,1.0,1124.0,1487.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_d_37,0.28,0.225,0.185,0.271,False,0.08600000000000002,0.30714285714285716,0.0035436238790523965,0.05500000000000002,0.0030250000000000025,1.0,1244.0,1505.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_d_38,-0.22,-0.206,-0.244,-0.169,True,0.07499999999999998,0.34090909090909083,0.000586937211216212,0.014000000000000012,0.00019600000000000035,1.0,1066.0,861.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_d_39,0.2,0.234,0.196,0.278,True,0.08200000000000002,0.4100000000000001,0.0016109547975247604,0.034,0.0011560000000000001,1.0,1233.0,1540.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_d_41,0.26,0.272,0.229,0.31,True,0.08099999999999999,0.3115384615384615,0.0006130976986533558,0.01200000000000001,0.00014400000000000025,1.0,1390.0,1417.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_d_42,-0.16,-0.158,-0.19,-0.124,True,0.066,0.41250000000000003,0.000334721931836071,0.0020000000000000018,4.0000000000000074e-06,1.0,1585.0,1598.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_d_43,0.22,0.192,0.158,0.223,True,0.065,0.29545454545454547,0.0011130385645592527,0.027999999999999997,0.0007839999999999999,1.0,1943.0,1646.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_d_44,0.18,0.181,0.146,0.223,True,0.07700000000000001,0.42777777777777787,0.00043336205688802447,0.0010000000000000009,1.0000000000000019e-06,1.0,1667.0,1493.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_d_45,0.3,0.282,0.25,0.311,True,0.061,0.20333333333333334,0.0005964780697628318,0.018000000000000016,0.00032400000000000056,1.0,1309.0,1679.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_d_46,-0.18,-0.212,-0.246,-0.178,True,0.068,0.3777777777777778,0.00138898836742741,0.032,0.001024,1.0,1469.0,1599.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_d_49,0.26,0.278,0.241,0.312,True,0.07100000000000001,0.2730769230769231,0.0006800893408412387,0.018000000000000016,0.00032400000000000056,1.0,1298.0,1349.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT.nc,beta_d_50,0.16,0.196,0.159,0.238,True,0.07899999999999999,0.4937499999999999,0.001737486506212011,0.036000000000000004,0.0012960000000000003,1.01,1179.0,1233.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_rating,0.75,0.744,0.714,0.771,True,0.05700000000000005,0.07600000000000007,0.00026391939579707333,0.006000000000000005,3.600000000000006e-05,1.0,1743.0,1368.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_cost,-0.4,-0.383,-0.404,-0.36,True,0.04400000000000004,0.1100000000000001,0.00043626750337626943,0.017000000000000015,0.0002890000000000005,1.0,2085.0,1113.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_log_dist,-0.6,-0.613,-0.65,-0.576,True,0.07400000000000007,0.12333333333333345,0.0005455317157277973,0.013000000000000012,0.0001690000000000003,1.0,3251.0,1406.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_chinese,0.83,0.867,0.798,0.942,True,0.1439999999999999,0.17349397590361434,0.002873293513790893,0.03700000000000003,0.0013690000000000024,1.01,692.0,1136.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_japanese,1.25,1.291,1.223,1.36,True,0.137,0.1096,0.0030485645611175232,0.040999999999999925,0.001680999999999994,1.0,726.0,1009.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_korean,0.75,0.749,0.66,0.84,True,0.17999999999999994,0.2399999999999999,0.0024443731737050765,0.0010000000000000009,1.0000000000000019e-06,1.01,752.0,1197.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_indian,1.0,1.011,0.928,1.103,True,0.17499999999999993,0.17499999999999993,0.0023779077925080187,0.010999999999999899,0.00012099999999999778,1.0,687.0,1104.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_french,0.95,0.935,0.849,1.01,True,0.16100000000000003,0.16947368421052636,0.0020984758379708176,0.014999999999999902,0.00022499999999999707,1.01,852.0,1408.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_mexican,1.3,1.366,1.284,1.44,True,0.15599999999999992,0.11999999999999993,0.00606743413449272,0.06600000000000006,0.0043560000000000074,1.0,832.0,1236.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_lebanese,0.9,0.929,0.861,1.005,True,0.1439999999999999,0.1599999999999999,0.0023290034004523575,0.029000000000000026,0.0008410000000000015,1.01,677.0,947.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_cost_x_logincome,0.02,0.015,0.01,0.021,True,0.011000000000000001,0.55,3.0838493950279684e-05,0.005000000000000001,2.500000000000001e-05,1.0,2048.0,1160.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_logdist_x_age,-0.02,-0.02,-0.021,-0.019,True,0.0020000000000000018,0.10000000000000009,3.1229661788669873e-07,0.0,0.0,1.0,2979.0,1582.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_rating_x_edu_sec,0.15,0.163,0.132,0.194,True,0.062,0.41333333333333333,0.00042976591911350593,0.013000000000000012,0.0001690000000000003,1.0,2744.0,1387.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_c_16,0.09,0.102,0.082,0.124,True,0.041999999999999996,0.4666666666666666,0.00027095014392003133,0.011999999999999997,0.00014399999999999992,1.0,1211.0,1441.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_c_19,-0.04,-0.043,-0.07,-0.017,True,0.053000000000000005,1.3250000000000002,0.0002212272718991587,0.0029999999999999957,8.999999999999975e-06,1.0,1456.0,1251.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_c_20,0.12,0.135,0.079,0.187,True,0.108,0.9,0.0010750326697138264,0.015000000000000013,0.0002250000000000004,1.0,1560.0,1459.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_c_21,0.22,0.211,0.194,0.225,True,0.031,0.1409090909090909,0.0001584181605265825,0.009000000000000008,8.100000000000014e-05,1.0,1435.0,1614.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_c_22,-0.18,-0.169,-0.193,-0.145,True,0.048000000000000015,0.2666666666666668,0.0002854817304628282,0.010999999999999982,0.00012099999999999961,1.0,1252.0,1443.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_c_24,0.28,0.285,0.261,0.306,True,0.044999999999999984,0.16071428571428564,0.0001759708290016458,0.004999999999999949,2.499999999999949e-05,1.0,1350.0,1422.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_c_25,-0.15,-0.143,-0.225,-0.073,True,0.15200000000000002,1.0133333333333336,0.0016752558767867032,0.007000000000000006,4.9000000000000087e-05,1.0,972.0,1327.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_c_26,0.16,0.161,0.146,0.178,True,0.032,0.2,7.754631110913962e-05,0.0010000000000000009,1.0000000000000019e-06,1.0,1540.0,1651.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_c_27,0.32,0.317,0.303,0.333,True,0.030000000000000027,0.09375000000000008,6.931543276558869e-05,0.0030000000000000027,9.000000000000015e-06,1.0,2109.0,1691.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_c_29,0.24,0.246,0.221,0.271,True,0.05000000000000002,0.2083333333333334,0.0002097244149721681,0.006000000000000005,3.600000000000006e-05,1.0,1307.0,1357.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_c_30,0.26,0.258,0.189,0.33,True,0.14100000000000001,0.5423076923076924,0.0015014614009344882,0.0020000000000000018,4.0000000000000074e-06,1.0,958.0,1199.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_c_32,0.2,0.215,0.187,0.238,True,0.05099999999999999,0.25499999999999995,0.0003946505183094755,0.014999999999999986,0.00022499999999999956,1.0,1120.0,1350.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_c_33,0.3,0.332,0.183,0.464,True,0.281,0.9366666666666668,0.006713729123248899,0.03200000000000003,0.001024000000000002,1.0,1102.0,1589.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_c_34,-0.15,-0.163,-0.181,-0.143,True,0.038000000000000006,0.2533333333333334,0.00027261109260796223,0.013000000000000012,0.0001690000000000003,1.0,1765.0,1474.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_c_35,0.34,0.363,0.302,0.424,True,0.122,0.35882352941176465,0.0016452999256866216,0.022999999999999965,0.0005289999999999984,1.0,1103.0,1268.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_d_36,0.24,0.243,0.18,0.298,True,0.118,0.49166666666666664,0.0010314972747335514,0.0030000000000000027,9.000000000000015e-06,1.0,1203.0,1525.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_d_37,0.28,0.225,0.181,0.268,False,0.08700000000000002,0.3107142857142858,0.0036168451591633206,0.05500000000000002,0.0030250000000000025,1.0,1390.0,1510.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_d_38,-0.22,-0.206,-0.243,-0.167,True,0.07599999999999998,0.3454545454545454,0.0006232546326560917,0.014000000000000012,0.00019600000000000035,1.0,943.0,1195.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_d_39,0.2,0.234,0.191,0.273,True,0.08200000000000002,0.4100000000000001,0.0016565441848309102,0.034,0.0011560000000000001,1.0,1115.0,1201.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_d_41,0.26,0.273,0.227,0.309,True,0.08199999999999999,0.3153846153846153,0.00064803194134647,0.013000000000000012,0.0001690000000000003,1.0,1469.0,1666.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_d_42,-0.16,-0.158,-0.19,-0.123,True,0.067,0.41875,0.0003334983312111095,0.0020000000000000018,4.0000000000000074e-06,1.0,1557.0,1510.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_d_43,0.22,0.19,0.159,0.224,True,0.065,0.29545454545454547,0.001169049759913721,0.03,0.0009,1.0,1695.0,1400.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_d_44,0.18,0.181,0.143,0.225,True,0.08200000000000002,0.45555555555555566,0.00047041403965442596,0.0010000000000000009,1.0000000000000019e-06,1.0,1627.0,1680.0
100,50000,40,0,restaurants_mnl_P40_J100_N50k_I0_C0_M0_woJIT~00.nc,beta_d_45,0.3,0.281,0.252,0.312,True,0.06,0.2,0.0006056765523006474,0.01899999999999996,0.00036099999999999853,1.0,1314.0,1602.0
